device,clicks,impressions,ctr,position
MOBILE,213,17891,0.01190542730982058,6.130568442233526
DESKTOP,68,21326,0.0031885960799024663,10.695207727656381
TABLET,8,392,0.02040816326530612,5.811224489795919
