date,clicks,impressions,ctr,position
2026-06-29,12,1542,0.007782101167315175,7.587548638132295
2026-06-30,10,2236,0.004472271914132379,16.04025044722719
2026-07-01,8,1627,0.004917025199754148,7.95759065765212
2026-07-02,10,1819,0.005497526113249038,9.235294117647058
2026-07-03,6,1255,0.004780876494023904,7.6350597609561754
2026-07-04,4,1200,0.0033333333333333335,6.754166666666666
2026-07-05,9,1249,0.007205764611689352,7.767013610888711
2026-07-06,15,1332,0.01126126126126126,7.74024024024024
2026-07-07,13,2064,0.006298449612403101,9.674903100775193
2026-07-08,11,1479,0.0074374577417173765,7.052738336713996
2026-07-09,13,1429,0.009097270818754374,8.28411476557033
2026-07-10,13,1261,0.010309278350515464,7.723235527359239
2026-07-11,8,1322,0.006051437216338881,8.586232980332829
2026-07-12,6,1477,0.004062288422477996,7.751523358158429
2026-07-13,14,1251,0.011191047162270184,7.646682653876899
2026-07-14,13,1800,0.007222222222222222,8.383888888888889
2026-07-15,12,1321,0.009084027252081756,8.046177138531416
2026-07-16,7,1028,0.006809338521400778,6.3900778210116735
2026-07-17,9,1041,0.008645533141210375,7.223823246878002
2026-07-18,11,1110,0.00990990990990991,7.085585585585585
2026-07-19,7,1091,0.006416131989000917,7.62878093492209
2026-07-20,15,1171,0.012809564474807857,7.091374893253629
2026-07-21,13,2716,0.004786450662739323,10.155375552282768
2026-07-22,14,1626,0.008610086100861008,8.886223862238623
2026-07-23,13,1330,0.009774436090225564,7.466165413533835
2026-07-24,15,1390,0.01079136690647482,8.182014388489208
2026-07-25,8,1442,0.005547850208044383,9.055478502080444
